category,subcategory,example,count,year
Professional behaviour,Staff attitude,"Failure to demonstrate values such as empathy, respect, fairness, courtesy, extra mile; cultural competency",387.0,2023-24
Professional behaviour,Staff competency,Failure to action service request; poorly informed decisions; incorrect or incomplete service provided,6.0,2023-24
Professional behaviour,Staff knowledge,Lack of service specific knowledge; incomplete or out-of-date knowledge,123.0,2023-24
Communication,Communication quality,"Inadequate, delayed or absent communication with consumer",576.0,2023-24
Communication,Confidentiality,Customer’s confidentiality or privacy not respected; information shared incorrectly,20.0,2023-24
Service delivery,Systems/technology,System offline; inaccessible to customer; incorrect result/information provided; poor system design,,2023-24
Service delivery,Access to services,Service difficult to find; location poor; facilities/ environment poor standard; not accessible to customers with disabilities,115.0,2023-24
Service delivery,Process,Processing error; incorrect process used; delay in processing application; process not customer responsive,,2023-24
Policy,Policy application,Incorrect policy interpretation; incorrect policy applied; conflicting policy advice given,,2023-24
Policy,Policy content,Policy content difficult to understand; policy unreasonable or disadvantages customer,,2023-24
Service quality,Information,"Incorrect, incomplete,",123.0,2023-24
Service quality,Access to information,"Information difficult to understand, hard to find or difficult to use; not plain English",8.0,2023-24
Service quality,Timeliness,Lack of staff punctuality; excessive waiting times (outside of service standard); timelines not met,292.0,2023-24
Service quality,Safety,Maintenance; personal or family safety; duty of care not shown; poor security service/ premises; poor cleanliness,,2023-24
Service quality,Service responsiveness,Service design doesn’t meet customer needs; poor service fit with customer expectations,,2023-24
No case to answer,No case to answer,Third party; customer misunderstanding; redirected to another agency; insufficient information to investigate,,2023-24
Additional Metrics,Total,nan,,2023-24
Number of positive feedback comments,2822,nan,,2023-24
Number of negative feedback comments,3882,nan,,2023-24
Total number of feedback comments,6704,nan,,2023-24
% complaints resolved within policy timeframes,0.9458,nan,,2023-24
Professional behaviour,Staff attitude,"Failure to demonstrate values such as empathy, respect, fairness, courtesy, extra mile; cultural competency",264.0,2022-23
Professional behaviour,Staff competency,Failure to action service request; poorly informed decisions; incorrect or incomplete service provided,2.0,2022-23
Professional behaviour,Staff knowledge,Lack of service specific knowledge; incomplete or out-of-date knowledge,61.0,2022-23
Communication,Communication quality,"Inadequate, delayed or absent communication with customer",402.0,2022-23
Communication,Confidentiality,Customer’s confidentiality or privacy not respected; information shared incorrectly,14.0,2022-23
Service delivery,Systems/technology,System offline; inaccessible to customer; incorrect information provided; poor system design,,2022-23
Service delivery,Access to services,Service difficult to find; location poor; facilities/ environment poor standard; not accessible to customers with disabilities,78.0,2022-23
Service delivery,Process,Processing error; incorrect process; delay in processing application; process not customer responsive,,2022-23
Policy,Policy application,Incorrect policy interpretation; incorrect policy applied; conflicting policy advice given,,2022-23
Policy,Policy content,Policy content difficult to understand; policy unreasonable or disadvantages customer,,2022-23
Service quality,Information,"Incorrect, incomplete,",61.0,2022-23
Service quality,Access to information,"Information difficult to understand, hard to find or difficult to use; not plain English",3.0,2022-23
Service quality,Timeliness,Lack of staff punctuality; excessive waiting times (outside of service standard); timelines not met,200.0,2022-23
Service quality,Safety,Maintenance; personal or family safety; duty of care not shown; poor security service/ premises; poor cleanliness,,2022-23
Service quality,Service responsiveness,Service design doesn’t meet customer needs; poor service fit with customer expectations,,2022-23
No case to answer,No case to answer,Third party; customer misunderstanding; redirected to another agency; insufficient information to investigate,,2022-23
Additional Metrics,Total,nan,,2022-23
Number of positive feedback comments,1338,nan,,2022-23
Number of negative feedback comments,2029,nan,,2022-23
Total number of feedback comments,3577,nan,,2022-23
% complaints resolved within policy timeframes,0.9388,nan,,2022-23
